Loan_ID,Married_No,Married_Yes,Dependents,Gender_Male,Gender_Female,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area_Urban,Property_Area_Rural,Property_Area_Semiurban,Loan_Status_Y,Loan_Status_N
LP001206,0,1,3.0,1,0,1,0,1,0,3029,0.0,99.0,360.0,1.0,1,0,0,1,0
LP001207,0,1,0.0,1,0,0,1,0,1,2609,3449.0,165.0,180.0,0.0,0,1,0,0,1
LP001213,0,1,1.0,1,0,1,0,1,0,4945,0.0,146.41,360.0,0.0,0,1,0,0,1
LP001222,1,0,0.0,0,1,1,0,1,0,4166,0.0,116.0,360.0,0.0,0,0,1,0,1
LP001225,0,1,0.0,1,0,1,0,1,0,5726,4595.0,258.0,360.0,1.0,0,0,1,0,1
LP001228,1,0,0.0,1,0,0,1,1,0,3200,2254.0,126.0,180.0,0.0,1,0,0,0,1
LP001238,0,1,3.0,1,0,0,1,0,1,7100,0.0,125.0,60.0,1.0,1,0,0,1,0
LP001241,1,0,0.0,0,1,1,0,1,0,4300,0.0,136.0,360.0,0.0,0,0,1,0,1
LP001243,0,1,0.0,1,0,1,0,1,0,3208,3066.0,172.0,360.0,1.0,1,0,0,1,0
LP001245,0,1,2.0,1,0,0,1,0,1,1875,1875.0,97.0,360.0,1.0,0,0,1,1,0
LP001248,1,0,0.0,1,0,1,0,1,0,3500,0.0,81.0,300.0,1.0,0,0,1,1,0
LP001250,0,1,3.0,1,0,0,1,1,0,4755,0.0,95.0,342.0,0.0,0,0,1,0,1
LP001253,0,1,3.0,1,0,1,0,0,1,5266,1774.0,187.0,360.0,1.0,0,0,1,1,0
LP001255,1,0,0.0,1,0,1,0,1,0,3750,0.0,113.0,480.0,1.0,1,0,0,0,1
LP001256,1,0,0.0,1,0,1,0,1,0,3750,4750.0,176.0,360.0,1.0,1,0,0,0,1
LP001259,0,1,1.0,1,0,1,0,0,1,1000,3022.0,110.0,360.0,1.0,1,0,0,0,1
LP001263,0,1,3.0,1,0,1,0,1,0,3167,4000.0,180.0,300.0,0.0,0,0,1,0,1
LP001264,0,1,3.0,1,0,0,1,0,1,3333,2166.0,130.0,360.0,1.0,0,0,1,1,0
LP001265,1,0,0.0,0,1,1,0,1,0,3846,0.0,111.0,360.0,1.0,0,0,1,1,0
LP001266,0,1,1.0,1,0,1,0,0,1,2395,0.0,146.41,360.0,1.0,0,0,1,1,0
LP001267,0,1,2.0,0,1,1,0,1,0,1378,1881.0,167.0,360.0,1.0,1,0,0,0,1
LP001273,0,1,0.0,1,0,1,0,1,0,6000,2250.0,265.0,360.0,1.0,0,0,1,0,1
LP001275,0,1,1.0,1,0,1,0,1,0,3988,0.0,50.0,240.0,1.0,1,0,0,1,0
LP001279,1,0,0.0,1,0,1,0,1,0,2366,2531.0,136.0,360.0,1.0,0,0,1,1,0
LP001280,0,1,2.0,1,0,0,1,1,0,3333,2000.0,99.0,360.0,1.0,0,0,1,1,0
LP001282,0,1,0.0,1,0,1,0,1,0,2500,2118.0,104.0,360.0,1.0,0,0,1,1,0
LP001289,1,0,0.0,1,0,1,0,1,0,8566,0.0,210.0,360.0,1.0,1,0,0,1,0
LP001310,0,1,0.0,1,0,1,0,1,0,5695,4167.0,175.0,360.0,1.0,0,0,1,1,0
LP001316,0,1,0.0,1,0,1,0,1,0,2958,2900.0,131.0,360.0,1.0,0,0,1,1,0
LP001318,0,1,2.0,1,0,1,0,1,0,6250,5654.0,188.0,180.0,1.0,0,0,1,1,0
LP001319,0,1,2.0,1,0,0,1,1,0,3273,1820.0,81.0,360.0,1.0,1,0,0,1,0
LP001322,1,0,0.0,1,0,1,0,1,0,4133,0.0,122.0,360.0,1.0,0,0,1,1,0
LP001325,1,0,0.0,1,0,0,1,1,0,3620,0.0,25.0,120.0,1.0,0,0,1,1,0
LP001326,1,0,0.0,1,0,1,0,1,0,6782,0.0,146.41,360.0,1.0,1,0,0,0,1
LP001327,0,1,0.0,0,1,1,0,1,0,2484,2302.0,137.0,360.0,1.0,0,0,1,1,0
LP001333,0,1,0.0,1,0,1,0,1,0,1977,997.0,50.0,360.0,1.0,0,0,1,1,0
LP001334,0,1,0.0,1,0,0,1,1,0,4188,0.0,115.0,180.0,1.0,0,0,1,1,0
LP001343,0,1,0.0,1,0,1,0,1,0,1759,3541.0,131.0,360.0,1.0,0,0,1,1,0
LP001345,0,1,2.0,1,0,0,1,1,0,4288,3263.0,133.0,180.0,1.0,1,0,0,1,0
LP001349,1,0,0.0,1,0,1,0,1,0,4843,3806.0,151.0,360.0,1.0,0,0,1,1,0
LP001356,0,1,0.0,1,0,1,0,1,0,4652,3583.0,146.41,360.0,1.0,0,0,1,1,0
LP001357,0,1,0.76,1,0,1,0,1,0,3816,754.0,160.0,360.0,1.0,1,0,0,1,0
LP001367,0,1,1.0,1,0,1,0,1,0,3052,1030.0,100.0,360.0,1.0,1,0,0,1,0
LP001370,1,0,0.0,1,0,0,1,1,0,7333,0.0,120.0,360.0,1.0,0,1,0,0,1
LP001379,0,1,2.0,1,0,1,0,1,0,3800,3600.0,216.0,360.0,0.0,1,0,0,0,1
LP001384,0,1,3.0,1,0,0,1,1,0,2071,754.0,94.0,480.0,1.0,0,0,1,1,0
LP001385,1,0,0.0,1,0,1,0,1,0,5316,0.0,136.0,360.0,1.0,1,0,0,1,0
LP001387,0,1,0.0,0,1,1,0,1,0,2929,2333.0,139.0,360.0,1.0,0,0,1,1,0
LP001391,0,1,0.0,1,0,0,1,1,0,3572,4114.0,152.0,342.0,0.0,0,1,0,0,1
LP001392,1,0,1.0,0,1,1,0,0,1,7451,0.0,146.41,360.0,1.0,0,0,1,1,0
LP001398,1,0,0.0,1,0,1,0,1,0,5050,0.0,118.0,360.0,1.0,0,0,1,1,0
LP001404,0,1,0.0,0,1,1,0,1,0,3167,2283.0,154.0,360.0,1.0,0,0,1,1,0
LP001405,0,1,1.0,1,0,1,0,1,0,2214,1398.0,85.0,360.0,1.0,1,0,0,1,0
LP001421,0,1,0.0,1,0,1,0,1,0,5568,2142.0,175.0,360.0,1.0,0,1,0,0,1
LP001426,0,1,0.76,1,0,1,0,1,0,5667,2667.0,180.0,360.0,1.0,0,1,0,1,0
LP001430,1,0,0.0,0,1,1,0,1,0,4166,0.0,44.0,360.0,1.0,0,0,1,1,0
LP001431,1,0,0.0,0,1,1,0,1,0,2137,8980.0,137.0,360.0,0.0,0,0,1,1,0
LP001432,0,1,2.0,1,0,1,0,1,0,2957,0.0,81.0,360.0,1.0,0,0,1,1,0
LP001439,0,1,0.0,1,0,0,1,1,0,4300,2014.0,194.0,360.0,1.0,0,1,0,1,0
LP001443,1,0,0.0,0,1,1,0,1,0,3692,0.0,93.0,360.0,1.0,0,1,0,1,0
LP001449,1,0,0.0,1,0,1,0,1,0,3865,1640.0,146.41,360.0,1.0,0,1,0,1,0
LP001465,0,1,0.0,1,0,1,0,1,0,6080,2569.0,182.0,360.0,1.0,0,1,0,0,1
LP001473,1,0,0.0,1,0,1,0,1,0,2014,1929.0,74.0,360.0,1.0,1,0,0,1,0
LP001478,1,0,0.0,1,0,1,0,1,0,2718,0.0,70.0,360.0,1.0,0,0,1,1,0
LP001482,0,1,0.0,1,0,1,0,0,1,3459,0.0,25.0,120.0,1.0,0,0,1,1,0
LP001487,1,0,0.0,1,0,1,0,1,0,4895,0.0,102.0,360.0,1.0,0,0,1,1,0
LP001488,0,1,3.0,1,0,1,0,1,0,4000,7750.0,290.0,360.0,1.0,0,0,1,0,1
LP001489,0,1,0.0,0,1,1,0,1,0,4583,0.0,84.0,360.0,1.0,0,1,0,0,1
LP001491,0,1,2.0,1,0,1,0,0,1,3316,3500.0,88.0,360.0,1.0,1,0,0,1,0
LP001493,0,1,2.0,1,0,0,1,1,0,4200,1430.0,129.0,360.0,1.0,0,1,0,0,1
LP001497,0,1,2.0,1,0,1,0,1,0,5042,2083.0,185.0,360.0,1.0,0,1,0,0,1
LP001498,1,0,0.0,1,0,1,0,1,0,5417,0.0,168.0,360.0,1.0,1,0,0,1,0
LP001504,1,0,0.0,1,0,1,0,0,1,6950,0.0,175.0,180.0,1.0,0,0,1,1,0
LP001507,0,1,0.0,1,0,1,0,1,0,2698,2034.0,122.0,360.0,1.0,0,0,1,1,0
LP001514,0,1,0.0,0,1,1,0,1,0,2330,4486.0,100.0,360.0,1.0,0,0,1,1,0
LP001518,0,1,1.0,1,0,1,0,1,0,1538,1425.0,30.0,360.0,1.0,1,0,0,1,0
LP001520,0,1,0.0,1,0,1,0,1,0,4860,830.0,125.0,360.0,1.0,0,0,1,1,0
LP001528,1,0,0.0,1,0,1,0,1,0,6277,0.0,118.0,360.0,0.0,0,1,0,0,1
LP001529,0,1,0.0,1,0,1,0,0,1,2577,3750.0,152.0,360.0,1.0,0,1,0,1,0
LP001531,1,0,0.0,1,0,1,0,1,0,9166,0.0,244.0,360.0,1.0,1,0,0,0,1
LP001532,0,1,2.0,1,0,0,1,1,0,2281,0.0,113.0,360.0,1.0,0,1,0,0,1
LP001535,1,0,0.0,1,0,1,0,1,0,3254,0.0,50.0,360.0,1.0,1,0,0,1,0
LP001541,0,1,1.0,1,0,1,0,1,0,6000,0.0,160.0,360.0,1.0,0,1,0,1,0
LP001546,1,0,0.0,1,0,1,0,1,0,2980,2083.0,120.0,360.0,1.0,0,1,0,1,0
LP001552,0,1,0.0,1,0,1,0,1,0,4583,5625.0,255.0,360.0,1.0,0,0,1,1,0
LP001560,0,1,0.0,1,0,0,1,1,0,1863,1041.0,98.0,360.0,1.0,0,0,1,1,0
LP001562,0,1,0.0,1,0,1,0,1,0,7933,0.0,275.0,360.0,1.0,1,0,0,0,1
LP001565,0,1,1.0,1,0,1,0,1,0,3089,1280.0,121.0,360.0,0.0,0,0,1,0,1
LP001570,0,1,2.0,1,0,1,0,1,0,4167,1447.0,158.0,360.0,1.0,0,1,0,1,0
LP001572,0,1,0.0,1,0,1,0,1,0,9323,0.0,75.0,180.0,1.0,1,0,0,1,0
LP001574,0,1,0.0,1,0,1,0,1,0,3707,3166.0,182.0,342.0,1.0,0,1,0,1,0
LP001577,0,1,0.0,0,1,1,0,1,0,4583,0.0,112.0,360.0,1.0,0,1,0,0,1
LP001578,0,1,0.0,1,0,1,0,1,0,2439,3333.0,129.0,360.0,1.0,0,1,0,1,0
LP001579,1,0,0.0,1,0,1,0,1,0,2237,0.0,63.0,480.0,0.0,0,0,1,0,1
LP001580,0,1,2.0,1,0,1,0,1,0,8000,0.0,200.0,360.0,1.0,0,0,1,1,0
LP001581,0,1,0.0,1,0,0,1,1,0,1820,1769.0,95.0,360.0,1.0,0,1,0,1,0
LP001586,0,1,3.0,1,0,0,1,1,0,3522,0.0,81.0,180.0,1.0,0,1,0,0,1
LP001594,0,1,0.0,1,0,1,0,1,0,5708,5625.0,187.0,360.0,1.0,0,0,1,1,0
LP001603,0,1,0.0,1,0,0,1,0,1,4344,736.0,87.0,360.0,1.0,0,0,1,0,1
LP001606,0,1,0.0,1,0,1,0,1,0,3497,1964.0,116.0,360.0,1.0,0,1,0,1,0
LP001608,0,1,2.0,1,0,1,0,1,0,2045,1619.0,101.0,360.0,1.0,0,1,0,1,0
LP001610,0,1,3.0,1,0,1,0,1,0,5516,11300.0,495.0,360.0,0.0,0,0,1,0,1
LP001616,0,1,1.0,1,0,1,0,1,0,3750,0.0,116.0,360.0,1.0,0,0,1,1,0
LP001630,1,0,0.0,1,0,0,1,1,0,2333,1451.0,102.0,480.0,0.0,1,0,0,0,1
LP001633,0,1,1.0,1,0,1,0,1,0,6400,7250.0,180.0,360.0,0.0,1,0,0,0,1
LP001634,1,0,0.0,1,0,1,0,1,0,1916,5063.0,67.0,360.0,1.0,0,1,0,0,1
LP001636,0,1,0.0,1,0,1,0,1,0,4600,0.0,73.0,180.0,1.0,0,0,1,1,0
LP001639,0,1,0.0,0,1,1,0,1,0,3625,0.0,108.0,360.0,1.0,0,0,1,1,0
LP001641,0,1,1.0,1,0,1,0,0,1,2178,0.0,66.0,300.0,0.0,0,1,0,0,1
LP001643,0,1,0.0,1,0,1,0,1,0,2383,2138.0,58.0,360.0,1.0,0,1,0,1,0
LP001644,0,1,0.0,1,0,1,0,0,1,674,5296.0,168.0,360.0,1.0,0,1,0,1,0
LP001647,0,1,0.0,1,0,1,0,1,0,9328,0.0,188.0,180.0,1.0,0,1,0,1,0
LP001653,1,0,0.0,1,0,0,1,1,0,4885,0.0,48.0,360.0,1.0,0,1,0,1,0
LP001657,0,1,0.0,1,0,0,1,1,0,6033,0.0,160.0,360.0,1.0,1,0,0,0,1
LP001658,1,0,0.0,1,0,1,0,1,0,3858,0.0,76.0,360.0,1.0,0,0,1,1,0
LP001664,1,0,0.0,1,0,1,0,1,0,4191,0.0,120.0,360.0,1.0,0,1,0,1,0
LP001665,0,1,1.0,1,0,1,0,1,0,3125,2583.0,170.0,360.0,1.0,0,0,1,0,1
LP001666,1,0,0.0,1,0,1,0,1,0,8333,3750.0,187.0,360.0,1.0,0,1,0,1,0
LP001669,1,0,0.0,0,1,0,1,1,0,1907,2365.0,120.0,342.0,1.0,1,0,0,1,0
LP001671,0,1,0.0,0,1,1,0,1,0,3416,2816.0,113.0,360.0,1.0,0,0,1,1,0
LP001674,0,1,1.0,1,0,0,1,1,0,2600,2500.0,90.0,360.0,1.0,0,0,1,1,0
LP001677,1,0,2.0,1,0,1,0,1,0,4923,0.0,166.0,360.0,0.0,0,0,1,1,0
LP001682,0,1,3.0,1,0,0,1,1,0,3992,0.0,146.41,180.0,1.0,1,0,0,0,1
LP001688,0,1,1.0,1,0,0,1,1,0,3500,1083.0,135.0,360.0,1.0,1,0,0,1,0
LP001691,0,1,2.0,1,0,0,1,1,0,3917,0.0,124.0,360.0,1.0,0,0,1,1,0
LP001692,1,0,0.0,0,1,0,1,1,0,4408,0.0,120.0,360.0,1.0,0,0,1,1,0
LP001693,1,0,0.0,0,1,1,0,1,0,3244,0.0,80.0,360.0,1.0,1,0,0,1,0
LP001698,1,0,0.0,1,0,0,1,1,0,3975,2531.0,55.0,360.0,1.0,0,1,0,1,0
LP001699,1,0,0.0,1,0,1,0,1,0,2479,0.0,59.0,360.0,1.0,1,0,0,1,0
LP001702,1,0,0.0,1,0,1,0,1,0,3418,0.0,127.0,360.0,1.0,0,0,1,0,1
LP001711,0,1,3.0,1,0,1,0,1,0,3430,1250.0,128.0,360.0,0.0,0,0,1,0,1
LP001713,0,1,1.0,1,0,1,0,0,1,7787,0.0,240.0,360.0,1.0,1,0,0,1,0
LP001715,0,1,3.0,1,0,0,1,0,1,5703,0.0,130.0,360.0,1.0,0,1,0,1,0
LP001716,0,1,0.0,1,0,1,0,1,0,3173,3021.0,137.0,360.0,1.0,1,0,0,1,0
LP001720,0,1,3.0,1,0,0,1,1,0,3850,983.0,100.0,360.0,1.0,0,0,1,1,0
LP001722,0,1,0.0,1,0,1,0,1,0,150,1800.0,135.0,360.0,1.0,0,1,0,0,1
LP001726,0,1,0.0,1,0,1,0,1,0,3727,1775.0,131.0,360.0,1.0,0,0,1,1,0
LP001732,0,1,2.0,1,0,1,0,1,0,5000,0.0,72.0,360.0,0.0,0,0,1,0,1
LP001734,0,1,2.0,0,1,1,0,1,0,4283,2383.0,127.0,360.0,1.0,0,0,1,1,0
LP001736,0,1,0.0,1,0,1,0,1,0,2221,0.0,60.0,360.0,0.0,1,0,0,0,1
LP001743,0,1,2.0,1,0,1,0,1,0,4009,1717.0,116.0,360.0,1.0,0,0,1,1,0
LP001744,1,0,0.0,1,0,1,0,1,0,2971,2791.0,144.0,360.0,1.0,0,0,1,1,0
LP001749,0,1,0.0,1,0,1,0,1,0,7578,1010.0,175.0,342.0,1.0,0,0,1,1,0
LP001750,0,1,0.0,1,0,1,0,1,0,6250,0.0,128.0,360.0,1.0,0,0,1,1,0
LP001751,0,1,0.0,1,0,1,0,1,0,3250,0.0,170.0,360.0,1.0,0,1,0,0,1
LP001754,0,1,0.76,1,0,0,1,0,1,4735,0.0,138.0,360.0,1.0,1,0,0,0,1
LP001758,0,1,2.0,1,0,1,0,1,0,6250,1695.0,210.0,360.0,1.0,0,0,1,1,0
LP001760,0,1,0.76,1,0,1,0,1,0,4758,0.0,158.0,480.0,1.0,0,0,1,1,0
LP001761,1,0,0.0,1,0,1,0,0,1,6400,0.0,200.0,360.0,1.0,0,1,0,1,0
LP001765,0,1,1.0,1,0,1,0,1,0,2491,2054.0,104.0,360.0,1.0,0,0,1,1,0
LP001768,0,1,0.0,1,0,1,0,1,0,3716,0.0,42.0,180.0,1.0,0,1,0,1,0
LP001770,1,0,0.0,1,0,0,1,1,0,3189,2598.0,120.0,342.0,1.0,0,1,0,1,0
LP001776,1,0,0.0,0,1,1,0,1,0,8333,0.0,280.0,360.0,1.0,0,0,1,1,0
LP001778,0,1,1.0,1,0,1,0,1,0,3155,1779.0,140.0,360.0,1.0,0,0,1,1,0
LP001784,0,1,1.0,1,0,1,0,1,0,5500,1260.0,170.0,360.0,1.0,0,1,0,1,0
LP001786,0,1,0.0,1,0,1,0,1,0,5746,0.0,255.0,360.0,1.0,1,0,0,0,1
LP001788,1,0,0.0,0,1,1,0,0,1,3463,0.0,122.0,360.0,1.0,1,0,0,1,0
LP001790,1,0,1.0,0,1,1,0,1,0,3812,0.0,112.0,360.0,1.0,0,1,0,1,0
LP001792,0,1,1.0,1,0,1,0,1,0,3315,0.0,96.0,360.0,1.0,0,0,1,1,0
LP001798,0,1,2.0,1,0,1,0,1,0,5819,5000.0,120.0,360.0,1.0,0,1,0,1,0
LP001800,0,1,1.0,1,0,0,1,1,0,2510,1983.0,140.0,180.0,1.0,1,0,0,0,1
LP001806,1,0,0.0,1,0,1,0,1,0,2965,5701.0,155.0,60.0,1.0,1,0,0,1,0
LP001807,0,1,2.0,1,0,1,0,0,1,6250,1300.0,108.0,360.0,1.0,0,1,0,1,0
LP001811,0,1,0.0,1,0,0,1,1,0,3406,4417.0,123.0,360.0,1.0,0,0,1,1,0
LP001813,1,0,0.0,1,0,1,0,0,1,6050,4333.0,120.0,180.0,1.0,1,0,0,0,1
LP001819,0,1,1.0,1,0,0,1,1,0,6608,0.0,137.0,180.0,1.0,1,0,0,1,0
LP001824,0,1,1.0,1,0,1,0,1,0,2882,1843.0,123.0,480.0,1.0,0,0,1,1,0
LP001825,0,1,0.0,1,0,1,0,1,0,1809,1868.0,90.0,360.0,1.0,1,0,0,1,0
LP001835,0,1,0.0,1,0,0,1,1,0,1668,3890.0,201.0,360.0,0.0,0,0,1,0,1
LP001836,1,0,2.0,0,1,1,0,1,0,3427,0.0,138.0,360.0,1.0,1,0,0,0,1
LP001841,1,0,0.0,1,0,0,1,0,1,2583,2167.0,104.0,360.0,1.0,0,1,0,1,0
LP001843,0,1,1.0,1,0,0,1,1,0,2661,7101.0,279.0,180.0,1.0,0,0,1,1,0
LP001846,1,0,3.0,0,1,1,0,1,0,3083,0.0,255.0,360.0,1.0,0,1,0,1,0
LP001849,1,0,0.0,1,0,0,1,1,0,6045,0.0,115.0,360.0,0.0,0,1,0,0,1
LP001854,0,1,3.0,1,0,1,0,1,0,5250,0.0,94.0,360.0,1.0,1,0,0,0,1
LP001864,0,1,3.0,1,0,0,1,1,0,4931,0.0,128.0,360.0,1.0,0,0,1,0,1
LP001865,0,1,1.0,1,0,1,0,1,0,6083,4250.0,330.0,360.0,1.0,1,0,0,1,0
LP001868,1,0,0.0,1,0,1,0,1,0,2060,2209.0,134.0,360.0,1.0,0,0,1,1,0
LP001870,1,0,1.0,0,1,1,0,1,0,3481,0.0,155.0,36.0,1.0,0,0,1,0,1
LP001871,1,0,0.0,0,1,1,0,1,0,7200,0.0,120.0,360.0,1.0,0,1,0,1,0
LP001872,1,0,0.0,1,0,1,0,0,1,5166,0.0,128.0,360.0,1.0,0,0,1,1,0
LP001875,1,0,0.0,1,0,1,0,1,0,4095,3447.0,151.0,360.0,1.0,0,1,0,1,0
LP001877,0,1,2.0,1,0,1,0,1,0,4708,1387.0,150.0,360.0,1.0,0,0,1,1,0
LP001882,0,1,3.0,1,0,1,0,1,0,4333,1811.0,160.0,360.0,0.0,1,0,0,1,0
LP001883,1,0,0.0,0,1,1,0,1,0,3418,0.0,135.0,360.0,1.0,0,1,0,0,1
LP001884,1,0,1.0,0,1,1,0,1,0,2876,1560.0,90.0,360.0,1.0,1,0,0,1,0
LP001888,1,0,0.0,0,1,1,0,1,0,3237,0.0,30.0,360.0,1.0,1,0,0,1,0
LP001892,1,0,0.0,1,0,1,0,1,0,2833,1857.0,126.0,360.0,1.0,0,1,0,1,0
LP001894,0,1,0.0,1,0,1,0,1,0,2620,2223.0,150.0,360.0,1.0,0,0,1,1,0
LP001896,0,1,2.0,1,0,1,0,1,0,3900,0.0,90.0,360.0,1.0,0,0,1,1,0
LP001900,0,1,1.0,1,0,1,0,1,0,2750,1842.0,115.0,360.0,1.0,0,0,1,1,0
LP001903,0,1,0.0,1,0,1,0,1,0,3993,3274.0,207.0,360.0,1.0,0,0,1,1,0
LP001904,0,1,0.0,1,0,1,0,1,0,3103,1300.0,80.0,360.0,1.0,1,0,0,1,0
