Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married,Loan_Status,Education,Self_Employed,Gender,Property_Area
LP001194,2.0,2708,1167.0,97.0,360.0,1.0,1,1,0,0,1,1
LP001195,0.0,2132,1591.0,96.0,360.0,1.0,1,1,0,0,1,1
LP001197,0.0,3366,2200.0,135.0,360.0,1.0,1,0,0,0,1,0
LP001198,1.0,8080,2250.0,180.0,360.0,1.0,1,1,0,0,1,2
LP001199,2.0,3357,2859.0,144.0,360.0,1.0,1,1,1,0,1,2
LP001205,0.0,2500,3796.0,120.0,360.0,1.0,1,1,0,0,1,2
LP001206,3.0,3029,0.0,99.0,360.0,1.0,1,1,0,0,1,2
LP001207,0.0,2609,3449.0,165.0,180.0,0.0,1,0,1,1,1,0
LP001213,1.0,4945,0.0,146.41,360.0,0.0,1,0,0,0,1,0
LP001222,0.0,4166,0.0,116.0,360.0,0.0,0,0,0,0,0,1
LP001225,0.0,5726,4595.0,258.0,360.0,1.0,1,0,0,0,1,1
LP001228,0.0,3200,2254.0,126.0,180.0,0.0,0,0,1,0,1,2
LP001233,1.0,10750,0.0,312.0,360.0,1.0,1,1,0,0,1,2
LP001238,3.0,7100,0.0,125.0,60.0,1.0,1,1,1,1,1,2
LP001241,0.0,4300,0.0,136.0,360.0,0.0,0,0,0,0,0,1
LP001243,0.0,3208,3066.0,172.0,360.0,1.0,1,1,0,0,1,2
LP001245,2.0,1875,1875.0,97.0,360.0,1.0,1,1,1,1,1,1
LP001248,0.0,3500,0.0,81.0,300.0,1.0,0,1,0,0,1,1
LP001250,3.0,4755,0.0,95.0,342.0,0.0,1,0,1,0,1,1
LP001253,3.0,5266,1774.0,187.0,360.0,1.0,1,1,0,1,1,1
LP001255,0.0,3750,0.0,113.0,480.0,1.0,0,0,0,0,1,2
LP001256,0.0,3750,4750.0,176.0,360.0,1.0,0,0,0,0,1,2
LP001259,1.0,1000,3022.0,110.0,360.0,1.0,1,0,0,1,1,2
LP001263,3.0,3167,4000.0,180.0,300.0,0.0,1,0,0,0,1,1
LP001264,3.0,3333,2166.0,130.0,360.0,1.0,1,1,1,1,1,1
LP001265,0.0,3846,0.0,111.0,360.0,1.0,0,1,0,0,0,1
LP001266,1.0,2395,0.0,146.41,360.0,1.0,1,1,0,1,1,1
LP001267,2.0,1378,1881.0,167.0,360.0,1.0,1,0,0,0,0,2
LP001273,0.0,6000,2250.0,265.0,360.0,1.0,1,0,0,0,1,1
LP001275,1.0,3988,0.0,50.0,240.0,1.0,1,1,0,0,1,2
LP001279,0.0,2366,2531.0,136.0,360.0,1.0,0,1,0,0,1,1
LP001280,2.0,3333,2000.0,99.0,360.0,1.0,1,1,1,0,1,1
LP001282,0.0,2500,2118.0,104.0,360.0,1.0,1,1,0,0,1,1
LP001289,0.0,8566,0.0,210.0,360.0,1.0,0,1,0,0,1,2
LP001310,0.0,5695,4167.0,175.0,360.0,1.0,1,1,0,0,1,1
LP001316,0.0,2958,2900.0,131.0,360.0,1.0,1,1,0,0,1,1
LP001318,2.0,6250,5654.0,188.0,180.0,1.0,1,1,0,0,1,1
LP001319,2.0,3273,1820.0,81.0,360.0,1.0,1,1,1,0,1,2
LP001322,0.0,4133,0.0,122.0,360.0,1.0,0,1,0,0,1,1
LP001325,0.0,3620,0.0,25.0,120.0,1.0,0,1,1,0,1,1
LP001326,0.0,6782,0.0,146.41,360.0,1.0,0,0,0,2,1,2
LP001327,0.0,2484,2302.0,137.0,360.0,1.0,1,1,0,0,0,1
LP001333,0.0,1977,997.0,50.0,360.0,1.0,1,1,0,0,1,1
LP001334,0.0,4188,0.0,115.0,180.0,1.0,1,1,1,0,1,1
LP001343,0.0,1759,3541.0,131.0,360.0,1.0,1,1,0,0,1,1
LP001345,2.0,4288,3263.0,133.0,180.0,1.0,1,1,1,0,1,2
LP001349,0.0,4843,3806.0,151.0,360.0,1.0,0,1,0,0,1,1
LP001350,0.76,13650,0.0,146.41,360.0,1.0,1,1,0,0,1,2
LP001356,0.0,4652,3583.0,146.41,360.0,1.0,1,1,0,0,1,1
LP001357,0.76,3816,754.0,160.0,360.0,1.0,2,1,0,0,1,2
LP001367,1.0,3052,1030.0,100.0,360.0,1.0,1,1,0,0,1,2
LP001369,2.0,11417,1126.0,225.0,360.0,1.0,1,1,0,0,1,2
LP001370,0.0,7333,0.0,120.0,360.0,1.0,0,0,1,2,1,0
LP001379,2.0,3800,3600.0,216.0,360.0,0.0,1,0,0,0,1,2
LP001384,3.0,2071,754.0,94.0,480.0,1.0,1,1,1,0,1,1
LP001385,0.0,5316,0.0,136.0,360.0,1.0,0,1,0,0,1,2
LP001387,0.0,2929,2333.0,139.0,360.0,1.0,1,1,0,2,0,1
LP001391,0.0,3572,4114.0,152.0,342.0,0.0,1,0,1,0,1,0
LP001392,1.0,7451,0.0,146.41,360.0,1.0,0,1,0,1,0,1
LP001398,0.0,5050,0.0,118.0,360.0,1.0,0,1,0,2,1,1
LP001401,1.0,14583,0.0,185.0,180.0,1.0,1,1,0,0,1,0
LP001404,0.0,3167,2283.0,154.0,360.0,1.0,1,1,0,0,0,1
LP001405,1.0,2214,1398.0,85.0,360.0,1.0,1,1,0,0,1,2
LP001421,0.0,5568,2142.0,175.0,360.0,1.0,1,0,0,0,1,0
LP001422,0.0,10408,0.0,259.0,360.0,1.0,0,1,0,0,0,2
LP001426,0.76,5667,2667.0,180.0,360.0,1.0,1,1,0,0,1,0
LP001430,0.0,4166,0.0,44.0,360.0,1.0,0,1,0,0,0,1
LP001431,0.0,2137,8980.0,137.0,360.0,0.0,0,1,0,0,0,1
LP001432,2.0,2957,0.0,81.0,360.0,1.0,1,1,0,0,1,1
LP001439,0.0,4300,2014.0,194.0,360.0,1.0,1,1,1,0,1,0
LP001443,0.0,3692,0.0,93.0,360.0,1.0,0,1,0,0,0,0
LP001448,3.0,23803,0.0,370.0,360.0,1.0,1,1,0,0,2,0
LP001449,0.0,3865,1640.0,146.41,360.0,1.0,0,1,0,0,1,0
LP001451,1.0,10513,3850.0,160.0,180.0,0.0,1,0,0,1,1,2
LP001465,0.0,6080,2569.0,182.0,360.0,1.0,1,0,0,0,1,0
LP001469,0.0,20166,0.0,650.0,480.0,1.0,0,1,0,1,1,2
LP001473,0.0,2014,1929.0,74.0,360.0,1.0,0,1,0,0,1,2
LP001478,0.0,2718,0.0,70.0,360.0,1.0,0,1,0,0,1,1
LP001482,0.0,3459,0.0,25.0,120.0,1.0,1,1,0,1,1,1
LP001487,0.0,4895,0.0,102.0,360.0,1.0,0,1,0,0,1,1
LP001488,3.0,4000,7750.0,290.0,360.0,1.0,1,0,0,0,1,1
LP001489,0.0,4583,0.0,84.0,360.0,1.0,1,0,0,0,0,0
LP001491,2.0,3316,3500.0,88.0,360.0,1.0,1,1,0,1,1,2
LP001492,0.0,14999,0.0,242.0,360.0,0.0,0,0,0,0,1,1
LP001493,2.0,4200,1430.0,129.0,360.0,1.0,1,0,1,0,1,0
LP001497,2.0,5042,2083.0,185.0,360.0,1.0,1,0,0,0,1,0
LP001498,0.0,5417,0.0,168.0,360.0,1.0,0,1,0,0,1,2
LP001504,0.0,6950,0.0,175.0,180.0,1.0,0,1,0,1,1,1
LP001507,0.0,2698,2034.0,122.0,360.0,1.0,1,1,0,0,1,1
LP001508,2.0,11757,0.0,187.0,180.0,1.0,1,1,0,0,1,2
LP001514,0.0,2330,4486.0,100.0,360.0,1.0,1,1,0,0,0,1
LP001516,2.0,14866,0.0,70.0,360.0,1.0,1,1,0,0,0,2
LP001518,1.0,1538,1425.0,30.0,360.0,1.0,1,1,0,0,1,2
LP001519,0.0,10000,1666.0,225.0,360.0,1.0,0,0,0,0,0,0
LP001520,0.0,4860,830.0,125.0,360.0,1.0,1,1,0,0,1,1
LP001528,0.0,6277,0.0,118.0,360.0,0.0,0,0,0,0,1,0
LP001529,0.0,2577,3750.0,152.0,360.0,1.0,1,1,0,1,1,0
LP001531,0.0,9166,0.0,244.0,360.0,1.0,0,0,0,0,1,2
LP001532,2.0,2281,0.0,113.0,360.0,1.0,1,0,1,0,1,0
LP001535,0.0,3254,0.0,50.0,360.0,1.0,0,1,0,0,1,2
LP001536,3.0,39999,0.0,600.0,180.0,0.0,1,1,0,0,1,1
LP001541,1.0,6000,0.0,160.0,360.0,1.0,1,1,0,0,1,0
LP001543,1.0,9538,0.0,187.0,360.0,1.0,1,1,0,0,1,2
LP001546,0.0,2980,2083.0,120.0,360.0,1.0,0,1,0,2,1,0
LP001552,0.0,4583,5625.0,255.0,360.0,1.0,1,1,0,0,1,1
LP001560,0.0,1863,1041.0,98.0,360.0,1.0,1,1,1,0,1,1
LP001562,0.0,7933,0.0,275.0,360.0,1.0,1,0,0,0,1,2
LP001565,1.0,3089,1280.0,121.0,360.0,0.0,1,0,0,0,1,1
LP001570,2.0,4167,1447.0,158.0,360.0,1.0,1,1,0,0,1,0
LP001572,0.0,9323,0.0,75.0,180.0,1.0,1,1,0,0,1,2
LP001574,0.0,3707,3166.0,182.0,342.0,1.0,1,1,0,0,1,0
LP001577,0.0,4583,0.0,112.0,360.0,1.0,1,0,0,0,0,0
LP001578,0.0,2439,3333.0,129.0,360.0,1.0,1,1,0,0,1,0
LP001579,0.0,2237,0.0,63.0,480.0,0.0,0,0,0,0,1,1
LP001580,2.0,8000,0.0,200.0,360.0,1.0,1,1,0,0,1,1
LP001581,0.0,1820,1769.0,95.0,360.0,1.0,1,1,1,2,1,0
LP001585,3.0,51763,0.0,700.0,300.0,1.0,1,1,0,0,2,2
LP001586,3.0,3522,0.0,81.0,180.0,1.0,1,0,1,0,1,0
LP001594,0.0,5708,5625.0,187.0,360.0,1.0,1,1,0,0,1,1
LP001603,0.0,4344,736.0,87.0,360.0,1.0,1,0,1,1,1,1
LP001606,0.0,3497,1964.0,116.0,360.0,1.0,1,1,0,0,1,0
LP001608,2.0,2045,1619.0,101.0,360.0,1.0,1,1,0,0,1,0
LP001610,3.0,5516,11300.0,495.0,360.0,0.0,1,0,0,0,1,1
LP001616,1.0,3750,0.0,116.0,360.0,1.0,1,1,0,0,1,1
LP001630,0.0,2333,1451.0,102.0,480.0,0.0,0,0,1,0,1,2
LP001633,1.0,6400,7250.0,180.0,360.0,0.0,1,0,0,0,1,2
LP001634,0.0,1916,5063.0,67.0,360.0,1.0,0,0,0,0,1,0
LP001636,0.0,4600,0.0,73.0,180.0,1.0,1,1,0,0,1,1
LP001637,1.0,33846,0.0,260.0,360.0,1.0,1,0,0,0,1,1
LP001639,0.0,3625,0.0,108.0,360.0,1.0,1,1,0,0,0,1
LP001640,0.0,39147,4750.0,120.0,360.0,1.0,1,1,0,1,1,1
LP001641,1.0,2178,0.0,66.0,300.0,0.0,1,0,0,1,1,0
LP001643,0.0,2383,2138.0,58.0,360.0,1.0,1,1,0,0,1,0
LP001644,0.0,674,5296.0,168.0,360.0,1.0,1,1,0,1,2,0
LP001647,0.0,9328,0.0,188.0,180.0,1.0,1,1,0,0,1,0
LP001653,0.0,4885,0.0,48.0,360.0,1.0,0,1,1,0,1,0
LP001656,0.0,12000,0.0,164.0,360.0,1.0,0,0,0,0,1,1
LP001657,0.0,6033,0.0,160.0,360.0,1.0,1,0,1,0,1,2
LP001658,0.0,3858,0.0,76.0,360.0,1.0,0,1,0,0,1,1
LP001664,0.0,4191,0.0,120.0,360.0,1.0,0,1,0,0,1,0
LP001665,1.0,3125,2583.0,170.0,360.0,1.0,1,0,0,0,1,1
LP001666,0.0,8333,3750.0,187.0,360.0,1.0,0,1,0,0,1,0
LP001669,0.0,1907,2365.0,120.0,342.0,1.0,0,1,1,0,0,2
LP001671,0.0,3416,2816.0,113.0,360.0,1.0,1,1,0,0,0,1
LP001673,0.0,11000,0.0,83.0,360.0,1.0,0,0,0,1,1,2
LP001674,1.0,2600,2500.0,90.0,360.0,1.0,1,1,1,0,1,1
LP001677,2.0,4923,0.0,166.0,360.0,0.0,0,1,0,0,1,1
LP001682,3.0,3992,0.0,146.41,180.0,1.0,1,0,1,0,1,2
LP001688,1.0,3500,1083.0,135.0,360.0,1.0,1,1,1,0,1,2
LP001691,2.0,3917,0.0,124.0,360.0,1.0,1,1,1,0,1,1
LP001692,0.0,4408,0.0,120.0,360.0,1.0,0,1,1,0,0,1
LP001693,0.0,3244,0.0,80.0,360.0,1.0,0,1,0,0,0,2
LP001698,0.0,3975,2531.0,55.0,360.0,1.0,0,1,1,0,1,0
LP001699,0.0,2479,0.0,59.0,360.0,1.0,0,1,0,0,1,2
LP001702,0.0,3418,0.0,127.0,360.0,1.0,0,0,0,0,1,1
LP001708,0.0,10000,0.0,214.0,360.0,1.0,0,0,0,0,0,1
LP001711,3.0,3430,1250.0,128.0,360.0,0.0,1,0,0,0,1,1
LP001713,1.0,7787,0.0,240.0,360.0,1.0,1,1,0,1,1,2
LP001715,3.0,5703,0.0,130.0,360.0,1.0,1,1,1,1,1,0
LP001716,0.0,3173,3021.0,137.0,360.0,1.0,1,1,0,0,1,2
LP001720,3.0,3850,983.0,100.0,360.0,1.0,1,1,1,0,1,1
LP001722,0.0,150,1800.0,135.0,360.0,1.0,1,0,0,0,1,0
LP001726,0.0,3727,1775.0,131.0,360.0,1.0,1,1,0,0,1,1
LP001732,2.0,5000,0.0,72.0,360.0,0.0,1,0,0,2,1,1
LP001734,2.0,4283,2383.0,127.0,360.0,1.0,1,1,0,0,0,1
LP001736,0.0,2221,0.0,60.0,360.0,0.0,1,0,0,0,1,2
LP001743,2.0,4009,1717.0,116.0,360.0,1.0,1,1,0,0,1,1
LP001744,0.0,2971,2791.0,144.0,360.0,1.0,0,1,0,0,1,1
LP001749,0.0,7578,1010.0,175.0,342.0,1.0,1,1,0,0,1,1
LP001750,0.0,6250,0.0,128.0,360.0,1.0,1,1,0,0,1,1
LP001751,0.0,3250,0.0,170.0,360.0,1.0,1,0,0,0,1,0
LP001754,0.76,4735,0.0,138.0,360.0,1.0,1,0,1,1,1,2
LP001758,2.0,6250,1695.0,210.0,360.0,1.0,1,1,0,0,1,1
LP001760,0.76,4758,0.0,158.0,480.0,1.0,2,1,0,0,1,1
LP001761,0.0,6400,0.0,200.0,360.0,1.0,0,1,0,1,1,0
LP001765,1.0,2491,2054.0,104.0,360.0,1.0,1,1,0,0,1,1
LP001768,0.0,3716,0.0,42.0,180.0,1.0,1,1,0,2,1,0
LP001770,0.0,3189,2598.0,120.0,342.0,1.0,0,1,1,0,1,0
LP001776,0.0,8333,0.0,280.0,360.0,1.0,0,1,0,0,0,1
LP001778,1.0,3155,1779.0,140.0,360.0,1.0,1,1,0,0,1,1
LP001784,1.0,5500,1260.0,170.0,360.0,1.0,1,1,0,0,1,0
LP001786,0.0,5746,0.0,255.0,360.0,1.0,1,0,0,2,1,2
LP001788,0.0,3463,0.0,122.0,360.0,1.0,0,1,0,1,0,2
LP001790,1.0,3812,0.0,112.0,360.0,1.0,0,1,0,0,0,0
LP001792,1.0,3315,0.0,96.0,360.0,1.0,1,1,0,0,1,1
LP001798,2.0,5819,5000.0,120.0,360.0,1.0,1,1,0,0,1,0
LP001800,1.0,2510,1983.0,140.0,180.0,1.0,1,0,1,0,1,2
LP001806,0.0,2965,5701.0,155.0,60.0,1.0,0,1,0,0,1,2
LP001807,2.0,6250,1300.0,108.0,360.0,1.0,1,1,0,1,1,0
LP001811,0.0,3406,4417.0,123.0,360.0,1.0,1,1,1,0,1,1
LP001813,0.0,6050,4333.0,120.0,180.0,1.0,0,0,0,1,1,2
LP001814,2.0,9703,0.0,112.0,360.0,1.0,1,1,0,0,1,2
LP001819,1.0,6608,0.0,137.0,180.0,1.0,1,1,1,0,1,2
LP001824,1.0,2882,1843.0,123.0,480.0,1.0,1,1,0,0,1,1
LP001825,0.0,1809,1868.0,90.0,360.0,1.0,1,1,0,0,1,2
LP001835,0.0,1668,3890.0,201.0,360.0,0.0,1,0,1,0,1,1
LP001836,2.0,3427,0.0,138.0,360.0,1.0,0,0,0,0,0,2
LP001841,0.0,2583,2167.0,104.0,360.0,1.0,0,1,1,1,1,0
LP001843,1.0,2661,7101.0,279.0,180.0,1.0,1,1,1,0,1,1
LP001844,0.0,16250,0.0,192.0,360.0,0.0,0,0,0,1,1,2
LP001846,3.0,3083,0.0,255.0,360.0,1.0,0,1,0,0,0,0
LP001849,0.0,6045,0.0,115.0,360.0,0.0,0,0,1,0,1,0
LP001854,3.0,5250,0.0,94.0,360.0,1.0,1,0,0,0,1,2
LP001859,0.0,14683,2100.0,304.0,360.0,1.0,1,0,0,0,1,0
LP001864,3.0,4931,0.0,128.0,360.0,1.0,1,0,1,0,1,1
LP001865,1.0,6083,4250.0,330.0,360.0,1.0,1,1,0,0,1,2
LP001868,0.0,2060,2209.0,134.0,360.0,1.0,0,1,0,0,1,1
LP001870,1.0,3481,0.0,155.0,36.0,1.0,0,0,0,0,0,1
LP001871,0.0,7200,0.0,120.0,360.0,1.0,0,1,0,0,0,0
LP001872,0.0,5166,0.0,128.0,360.0,1.0,0,1,0,1,1,1
LP001875,0.0,4095,3447.0,151.0,360.0,1.0,0,1,0,0,1,0
LP001877,2.0,4708,1387.0,150.0,360.0,1.0,1,1,0,0,1,1
LP001882,3.0,4333,1811.0,160.0,360.0,0.0,1,1,0,0,1,2
LP001883,0.0,3418,0.0,135.0,360.0,1.0,0,0,0,2,0,0
LP001884,1.0,2876,1560.0,90.0,360.0,1.0,0,1,0,0,0,2
LP001888,0.0,3237,0.0,30.0,360.0,1.0,0,1,0,0,0,2
LP001891,0.0,11146,0.0,136.0,360.0,1.0,1,1,0,0,1,2
LP001892,0.0,2833,1857.0,126.0,360.0,1.0,0,1,0,0,1,0
LP001894,0.0,2620,2223.0,150.0,360.0,1.0,1,1,0,0,1,1
LP001896,2.0,3900,0.0,90.0,360.0,1.0,1,1,0,0,1,1
LP001900,1.0,2750,1842.0,115.0,360.0,1.0,1,1,0,0,1,1
LP001903,0.0,3993,3274.0,207.0,360.0,1.0,1,1,0,0,1,1
LP001904,0.0,3103,1300.0,80.0,360.0,1.0,1,1,0,0,1,2
LP001907,0.0,14583,0.0,436.0,360.0,1.0,1,1,0,0,1,1
LP001908,0.0,4100,0.0,124.0,360.0,1.0,1,1,1,0,0,0
LP001910,1.0,4053,2426.0,158.0,360.0,0.0,0,0,1,1,1,2
LP001914,0.0,3927,800.0,112.0,360.0,1.0,1,1,0,0,1,1
LP001915,2.0,2301,985.8,78.0,180.0,1.0,1,1,0,0,1,2
LP001917,0.0,1811,1666.0,54.0,360.0,1.0,0,1,0,0,0,2
LP001922,0.0,20667,0.0,146.41,360.0,1.0,1,0,0,0,1,0
LP001924,0.0,3158,3053.0,89.0,360.0,1.0,0,1,0,0,1,0
LP001925,0.0,2600,1717.0,99.0,300.0,1.0,0,0,0,1,0,1
LP001926,0.0,3704,2000.0,120.0,360.0,1.0,1,1,0,0,1,0
LP001931,0.0,4124,0.0,115.0,360.0,1.0,0,1,0,0,0,1
LP001935,0.0,9508,0.0,187.0,360.0,1.0,0,1,0,0,1,0
LP001936,0.0,3075,2416.0,139.0,360.0,1.0,1,1,0,0,1,0
LP001938,2.0,4400,0.0,127.0,360.0,0.0,1,0,0,0,1,1
LP001940,2.0,3153,1560.0,134.0,360.0,1.0,1,1,0,0,1,2
LP001945,0.76,5417,0.0,143.0,480.0,0.0,0,0,0,0,0,2
LP001947,0.0,2383,3334.0,172.0,360.0,1.0,1,1,0,0,1,1
LP001949,3.0,4416,1250.0,110.0,360.0,1.0,1,1,0,2,1,2
LP001953,1.0,6875,0.0,200.0,360.0,1.0,1,1,0,0,1,1
LP001954,1.0,4666,0.0,135.0,360.0,1.0,1,1,0,0,0,2
LP001955,0.0,5000,2541.0,151.0,480.0,1.0,0,0,0,0,0,0
LP001963,1.0,2014,2925.0,113.0,360.0,1.0,1,0,0,0,1,2
LP001964,0.0,1800,2934.0,93.0,360.0,0.0,1,0,1,0,1,2
LP001972,0.76,2875,1750.0,105.0,360.0,1.0,1,1,1,0,1,1
LP001974,0.0,5000,0.0,132.0,360.0,1.0,0,1,0,0,0,0
LP001977,1.0,1625,1803.0,96.0,360.0,1.0,1,1,0,0,1,2
LP001978,0.0,4000,2500.0,140.0,360.0,1.0,0,1,0,0,1,0
LP001990,0.0,2000,0.0,146.41,360.0,1.0,0,0,1,0,1,2
LP001993,0.0,3762,1666.0,135.0,360.0,1.0,0,1,0,0,0,0
LP001994,0.0,2400,1863.0,104.0,360.0,0.0,0,0,0,0,0,2
LP001996,0.0,20233,0.0,480.0,360.0,1.0,0,0,0,0,1,0
LP001998,2.0,7667,0.0,185.0,360.0,1.0,1,1,1,0,1,0
LP002002,0.0,2917,0.0,84.0,360.0,1.0,0,1,0,0,0,1
LP002004,0.0,2927,2405.0,111.0,360.0,1.0,0,1,1,0,1,1
LP002006,0.0,2507,0.0,56.0,360.0,1.0,0,1,0,0,0,0
LP002008,2.0,5746,0.0,144.0,84.0,1.0,1,1,0,1,1,0
LP002024,0.0,2473,1843.0,159.0,360.0,1.0,1,0,0,0,2,0
LP002031,1.0,3399,1640.0,111.0,180.0,1.0,1,1,1,0,1,2
LP002035,2.0,3717,0.0,120.0,360.0,1.0,1,1,0,0,1,1
LP002036,0.0,2058,2134.0,88.0,360.0,1.0,1,1,0,0,1,2
LP002043,1.0,3541,0.0,112.0,360.0,1.0,0,1,0,0,0,1
LP002050,1.0,10000,0.0,155.0,360.0,1.0,1,0,0,1,1,0
LP002051,0.0,2400,2167.0,115.0,360.0,1.0,1,1,0,0,1,1
LP002053,3.0,4342,189.0,124.0,360.0,1.0,1,1,0,0,1,1
LP002054,2.0,3601,1590.0,146.41,360.0,1.0,1,1,1,0,1,0
LP002055,0.0,3166,2985.0,132.0,360.0,1.0,0,1,0,0,0,0
LP002065,3.0,15000,0.0,300.0,360.0,1.0,1,1,0,0,1,0
LP002067,1.0,8666,4983.0,376.0,360.0,0.0,1,0,0,1,1,0
LP002068,0.0,4917,0.0,130.0,360.0,0.0,0,1,0,0,1,0
LP002082,0.0,5818,2160.0,184.0,360.0,1.0,1,1,0,1,1,1
LP002086,0.0,4333,2451.0,110.0,360.0,1.0,1,0,0,0,0,2
LP002087,0.0,2500,0.0,67.0,360.0,1.0,0,1,0,0,0,2
LP002097,1.0,4384,1793.0,117.0,360.0,1.0,0,1,0,0,1,2
LP002098,0.0,2935,0.0,98.0,360.0,1.0,0,1,0,0,1,1
LP002100,0.76,2833,0.0,71.0,360.0,1.0,0,1,0,0,1,2
LP002101,0.0,63337,0.0,490.0,180.0,1.0,1,1,0,2,1,2
LP002103,1.0,9833,1833.0,182.0,180.0,1.0,1,1,0,1,2,2
LP002106,0.76,5503,4490.0,70.0,342.0,1.0,1,1,0,1,1,1
LP002110,1.0,5250,688.0,160.0,360.0,1.0,1,1,0,2,1,0
LP002112,2.0,2500,4600.0,176.0,360.0,1.0,1,1,0,1,1,0
LP002113,3.0,1830,0.0,146.41,360.0,0.0,0,0,1,0,0,2
LP002114,0.0,4160,0.0,71.0,360.0,1.0,0,1,0,0,0,1
LP002115,3.0,2647,1587.0,173.0,360.0,1.0,1,0,1,0,1,0
