Loan_ID,Married,Dependents,Gender,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001692,No,0.0,Female,Not Graduate,No,4408,0.0,120.0,360.0,1.0,Semiurban,Y
LP001693,No,0.0,Female,Graduate,No,3244,0.0,80.0,360.0,1.0,Urban,Y
LP001698,No,0.0,Male,Not Graduate,No,3975,2531.0,55.0,360.0,1.0,Rural,Y
LP001699,No,0.0,Male,Graduate,No,2479,0.0,59.0,360.0,1.0,Urban,Y
LP001702,No,0.0,Male,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,N
LP001708,No,0.0,Female,Graduate,No,10000,0.0,214.0,360.0,1.0,Semiurban,N
LP001711,Yes,3.0,Male,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,N
LP001713,Yes,1.0,Male,Graduate,Yes,7787,0.0,240.0,360.0,1.0,Urban,Y
LP001715,Yes,3.0,Male,Not Graduate,Yes,5703,0.0,130.0,360.0,1.0,Rural,Y
LP001716,Yes,0.0,Male,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,Y
LP001720,Yes,3.0,Male,Not Graduate,No,3850,983.0,100.0,360.0,1.0,Semiurban,Y
LP001722,Yes,0.0,Male,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,N
LP001726,Yes,0.0,Male,Graduate,No,3727,1775.0,131.0,360.0,1.0,Semiurban,Y
LP001732,Yes,2.0,Male,Graduate,No,5000,0.0,72.0,360.0,0.0,Semiurban,N
LP001734,Yes,2.0,Female,Graduate,No,4283,2383.0,127.0,360.0,1.0,Semiurban,Y
LP001736,Yes,0.0,Male,Graduate,No,2221,0.0,60.0,360.0,0.0,Urban,N
LP001743,Yes,2.0,Male,Graduate,No,4009,1717.0,116.0,360.0,1.0,Semiurban,Y
LP001744,No,0.0,Male,Graduate,No,2971,2791.0,144.0,360.0,1.0,Semiurban,Y
LP001749,Yes,0.0,Male,Graduate,No,7578,1010.0,175.0,342.0,1.0,Semiurban,Y
LP001750,Yes,0.0,Male,Graduate,No,6250,0.0,128.0,360.0,1.0,Semiurban,Y
LP001751,Yes,0.0,Male,Graduate,No,3250,0.0,170.0,360.0,1.0,Rural,N
LP001754,Yes,0.76,Male,Not Graduate,Yes,4735,0.0,138.0,360.0,1.0,Urban,N
LP001758,Yes,2.0,Male,Graduate,No,6250,1695.0,210.0,360.0,1.0,Semiurban,Y
LP001760,Yes,0.76,Male,Graduate,No,4758,0.0,158.0,480.0,1.0,Semiurban,Y
LP001761,No,0.0,Male,Graduate,Yes,6400,0.0,200.0,360.0,1.0,Rural,Y
LP001765,Yes,1.0,Male,Graduate,No,2491,2054.0,104.0,360.0,1.0,Semiurban,Y
LP001768,Yes,0.0,Male,Graduate,No,3716,0.0,42.0,180.0,1.0,Rural,Y
LP001770,No,0.0,Male,Not Graduate,No,3189,2598.0,120.0,342.0,1.0,Rural,Y
LP001776,No,0.0,Female,Graduate,No,8333,0.0,280.0,360.0,1.0,Semiurban,Y
LP001778,Yes,1.0,Male,Graduate,No,3155,1779.0,140.0,360.0,1.0,Semiurban,Y
LP001784,Yes,1.0,Male,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,Y
LP001786,Yes,0.0,Male,Graduate,No,5746,0.0,255.0,360.0,1.0,Urban,N
LP001788,No,0.0,Female,Graduate,Yes,3463,0.0,122.0,360.0,1.0,Urban,Y
LP001790,No,1.0,Female,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,Y
LP001792,Yes,1.0,Male,Graduate,No,3315,0.0,96.0,360.0,1.0,Semiurban,Y
LP001798,Yes,2.0,Male,Graduate,No,5819,5000.0,120.0,360.0,1.0,Rural,Y
LP001800,Yes,1.0,Male,Not Graduate,No,2510,1983.0,140.0,180.0,1.0,Urban,N
LP001806,No,0.0,Male,Graduate,No,2965,5701.0,155.0,60.0,1.0,Urban,Y
LP001807,Yes,2.0,Male,Graduate,Yes,6250,1300.0,108.0,360.0,1.0,Rural,Y
LP001811,Yes,0.0,Male,Not Graduate,No,3406,4417.0,123.0,360.0,1.0,Semiurban,Y
LP001813,No,0.0,Male,Graduate,Yes,6050,4333.0,120.0,180.0,1.0,Urban,N
LP001814,Yes,2.0,Male,Graduate,No,9703,0.0,112.0,360.0,1.0,Urban,Y
LP001819,Yes,1.0,Male,Not Graduate,No,6608,0.0,137.0,180.0,1.0,Urban,Y
LP001824,Yes,1.0,Male,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,Y
LP001825,Yes,0.0,Male,Graduate,No,1809,1868.0,90.0,360.0,1.0,Urban,Y
LP001835,Yes,0.0,Male,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,N
LP001836,No,2.0,Female,Graduate,No,3427,0.0,138.0,360.0,1.0,Urban,N
LP001841,No,0.0,Male,Not Graduate,Yes,2583,2167.0,104.0,360.0,1.0,Rural,Y
LP001843,Yes,1.0,Male,Not Graduate,No,2661,7101.0,279.0,180.0,1.0,Semiurban,Y
LP001844,No,0.0,Male,Graduate,Yes,16250,0.0,192.0,360.0,0.0,Urban,N
LP001846,No,3.0,Female,Graduate,No,3083,0.0,255.0,360.0,1.0,Rural,Y
LP001849,No,0.0,Male,Not Graduate,No,6045,0.0,115.0,360.0,0.0,Rural,N
LP001854,Yes,3.0,Male,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,N
LP001859,Yes,0.0,Male,Graduate,No,14683,2100.0,304.0,360.0,1.0,Rural,N
LP001864,Yes,3.0,Male,Not Graduate,No,4931,0.0,128.0,360.0,1.0,Semiurban,N
LP001865,Yes,1.0,Male,Graduate,No,6083,4250.0,330.0,360.0,1.0,Urban,Y
LP001868,No,0.0,Male,Graduate,No,2060,2209.0,134.0,360.0,1.0,Semiurban,Y
LP001870,No,1.0,Female,Graduate,No,3481,0.0,155.0,36.0,1.0,Semiurban,N
LP001871,No,0.0,Female,Graduate,No,7200,0.0,120.0,360.0,1.0,Rural,Y
LP001872,No,0.0,Male,Graduate,Yes,5166,0.0,128.0,360.0,1.0,Semiurban,Y
LP001875,No,0.0,Male,Graduate,No,4095,3447.0,151.0,360.0,1.0,Rural,Y
LP001877,Yes,2.0,Male,Graduate,No,4708,1387.0,150.0,360.0,1.0,Semiurban,Y
LP001882,Yes,3.0,Male,Graduate,No,4333,1811.0,160.0,360.0,0.0,Urban,Y
LP001883,No,0.0,Female,Graduate,No,3418,0.0,135.0,360.0,1.0,Rural,N
LP001884,No,1.0,Female,Graduate,No,2876,1560.0,90.0,360.0,1.0,Urban,Y
LP001888,No,0.0,Female,Graduate,No,3237,0.0,30.0,360.0,1.0,Urban,Y
LP001891,Yes,0.0,Male,Graduate,No,11146,0.0,136.0,360.0,1.0,Urban,Y
LP001892,No,0.0,Male,Graduate,No,2833,1857.0,126.0,360.0,1.0,Rural,Y
LP001894,Yes,0.0,Male,Graduate,No,2620,2223.0,150.0,360.0,1.0,Semiurban,Y
LP001896,Yes,2.0,Male,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban,Y
LP001900,Yes,1.0,Male,Graduate,No,2750,1842.0,115.0,360.0,1.0,Semiurban,Y
